u1,u2,u3,u4
-69.351744530452,69.22467614867432,-68.94344544601987,69.07103580740215
-69.35174428801359,69.22467624574708,-68.94344586736662,69.07103543863828
-69.351743059172,69.22467754297146,-68.94344744638524,69.07103381121964
-69.35174144943514,69.22467923792897,-68.94344938920746,69.0710318135214
-69.35174108902021,69.22467962925171,-68.94344986009047,69.071031302385
-69.3517402699305,69.22468053238642,-68.94345079304797,69.07103031253605
-69.35174041503784,69.22468039793213,-68.94345056236288,69.07103052353771
-69.35174072592635,69.2246800647961,-68.94345014437344,69.07103095779095
-69.35174181469672,69.2246789029046,-68.94344888990352,69.07103224738286
-69.35174489857417,69.22467565223324,-68.94344548902758,69.07103575643288
-69.3517457671812,69.22467473586454,-68.94344460415024,69.07103669514301
-69.35174456447284,69.22467598826385,-68.94344610959723,69.07103520576418
-69.35174295429016,69.22467765022988,-68.94344798322298,69.07103334974649
-69.35174089483183,69.22467976191088,-68.943450278619,69.07103107644313
-69.35173981099113,69.2246808679948,-68.94345135348392,69.07103002307811
-69.35173998720808,69.224680661308,-68.9434509427797,69.07103047171286
-69.35173998720808,69.224680661308,-68.9434509427797,69.07103047171286
-69.35174103490496,69.22467954331698,-68.94344956904892,69.07103190026375
-69.3517424341453,69.22467805527162,-68.94344787067024,69.07103366524818
-69.35174320171647,69.2246772534929,-68.94344708454037,69.07103450927272
-69.35174311455673,69.22467734812342,-68.94344724743135,69.07103435673622
-69.35174294164767,69.22467753257844,-68.94344746832581,69.07103413932002
-69.35174294164767,69.22467753257844,-68.94344746832581,69.07103413932002
-69.35174228854285,69.22467821719528,-68.94344812786213,69.07103347308193
-69.35174180630251,69.22467871935369,-68.94344858505016,69.07103300636304
-69.35174180630251,69.22467871935369,-68.94344858505016,69.07103300636304
-69.35174034165199,69.22468024516465,-68.9434499969393,69.07103154744625
-69.35174034165199,69.22468024516465,-68.9434499969393,69.07103154744625
-69.35174062621392,69.22467995631578,-68.94344962000498,69.07103191488451
-69.35174078082366,69.22467980552534,-68.94344938041336,69.07103213000488
-69.3517410820374,69.22467952536456,-68.9434489896804,69.0710324701376
-69.35174155553099,69.2246790607074,-68.94344850531562,69.07103291773096
-69.3517419349204,69.2246786779809,-68.94344817526336,69.07103322712747
-69.35174284675232,69.22467779960249,-68.94344724762972,69.07103407999622
-69.3517432672253,69.22467738251359,-68.9434468657917,69.0710344295016
-69.35174301726423,69.22467762415043,-68.94344731180936,69.07103396534941
-69.35174247027746,69.22467818308233,-68.94344804328051,69.07103321720437
-69.35174124758515,69.22467945107434,-68.9434495200471,69.07103171927061
-69.35174037342391,69.22468035640073,-68.9434505672487,69.0710306566829
-69.35174058733045,69.22468012354472,-68.9434503819752,69.071030852933
-69.35174058733045,69.22468012354472,-68.9434503819752,69.071030852933
-69.3517414254142,69.22467923634538,-68.94344947542209,69.0710317979928
-69.3517424740817,69.22467812815442,-68.94344839212594,69.07103292973252
-69.35174367883533,69.22467685699414,-68.94344717918462,69.07103419784066
-69.35174462767293,69.22467585772709,-68.94344629725518,69.07103512280356
-69.35174401343265,69.22467667144845,-68.94344728279529,69.07103395730289
-69.35174401343265,69.22467667144845,-68.94344728279529,69.07103395730289
-69.35174218110835,69.22467865535228,-68.94344947656033,69.07103159198772
-69.35174094330367,69.22467990202729,-68.94345087871746,69.07103020484182
-69.35174072257756,69.22468003216625,-68.9434510543504,69.07103009997988
-69.35174141689988,69.22467924680127,-68.94345020550861,69.0710310249645
-69.35174236042516,69.22467820534384,-68.94344913711323,69.07103218346766
-69.35174357332416,69.22467688459572,-68.94344781872574,69.07103360667604
-69.35174400465063,69.22467646729703,-68.94344748416485,69.07103397269748
-69.35174400465063,69.22467646729703,-68.94344748416485,69.07103397269748
-69.3517436285863,69.22467688915575,-68.94344809360626,69.07103337198748
-69.35174308896597,69.22467746082484,-68.94344884896469,69.07103262754805
-69.35174214718342,69.22467844405885,-68.94345009137618,69.07103137696664
-69.35174136591414,69.22467943807916,-68.94345102985304,69.0710302146171
-69.35174084291934,69.22468004336801,-68.94345161465635,69.07102946883612
-69.35174101264693,69.2246796649647,-68.94345150274532,69.07102978871885
-69.3517411465188,69.224679512554,-68.94345140129174,69.07102985526349
-69.35174255990013,69.22467810667867,-68.9434499632848,69.07103127513813
-69.35174366063617,69.22467698585555,-68.94344880583698,69.07103238614592
-69.35174604487293,69.22467461169711,-68.94344644507919,69.07103465050025
-69.35174605871289,69.22467482590652,-68.94344667333615,69.07103433204618
-69.35174455261595,69.2246762268321,-68.94344880845189,69.0710322673674
-69.35174082383928,69.22467995543448,-68.9434532718387,69.07102788489426
-69.35173946618465,69.22468128792502,-68.94345491805562,69.07102630083946
-69.35174058066764,69.22468011237669,-68.94345369923866,69.07102757844918
-69.35174058066764,69.22468011237669,-68.94345369923866,69.07102757844918
-69.35174533742148,69.2246751495573,-68.94344861560788,69.07103281194605
-69.35174533742148,69.2246751495573,-68.94344861560788,69.07103281194605
-69.35174815948203,69.22467221401138,-68.94344605748678,69.07103548989706
-69.35174797481739,69.22467241702236,-68.94344654024941,69.07103502946649
-69.35174571781265,69.2246747812402,-68.94344929779028,69.07103224890321
-69.35174278900469,69.22467782883767,-68.94345267427127,69.0710288398792
-69.35174100314191,69.22467967662217,-68.94345456565712,69.0710269260911
-69.35174100314191,69.22467967662217,-68.94345456565712,69.0710269260911
-69.35174095903858,69.22467970282435,-68.94345436778099,69.07102712897756
-69.35174227243884,69.22467831638349,-68.94345263358004,69.07102888919029
-69.35174404393685,69.2246764554889,-68.943450474558,69.07103108369493
-69.35174631413311,69.22467409095118,-68.94344782975085,69.07103376328092
-69.3517467737403,69.22467363351825,-68.94344739089064,69.07103419780366
-69.35174736593486,69.22467306000104,-68.94344679291784,69.07103476913572
-69.3517457786679,69.22467472706036,-68.94344861183761,69.07103290908772
-69.35174386496763,69.22467674647186,-68.94345073008922,69.07103072486571
-69.35174189289525,69.22467853914056,-68.94345271932835,69.07102882120853
-69.35174123499709,69.22467931676879,-68.94345324125804,69.07102823784967
-69.35174051232235,69.2246800997498,-68.94345384929268,69.07102759504615
-69.35174098450887,69.2246796964162,-68.9434530574761,69.07102832362531
-69.35174399987916,69.22467644924767,-68.94344960589773,69.07103197850186
-69.35174650135765,69.22467387219204,-68.94344680602936,69.0710347990782
-69.35174696079034,69.22467344034634,-68.94344644988794,69.07103512601486
-69.35174564523378,69.2246748465002,-68.94344812909931,69.07103339086822
-69.35174388378233,69.2246767215179,-68.94345021744823,69.0710312265052
-69.35174201968238,69.22467868872447,-68.94345229722694,69.07102907827623
-69.35174131293651,69.2246794057044,-68.94345294498572,69.07102840187277
-69.35174182009669,69.22467885469236,-68.94345216580295,69.07102918108322
-69.35174255388978,69.22467807670597,-68.9434511866246,69.07103016511707
-69.35174355375126,69.2246770293866,-68.94344997486289,69.07103138657726
-69.3517445068218,69.22467603128139,-68.94344889539369,69.07103248047527
-69.35174474773102,69.22467579669569,-68.94344868605695,69.07103268689178
-69.35174467383068,69.2246758867887,-68.94344884606966,69.07103251793534
-69.35174407466113,69.22467652074131,-68.94344956784236,69.07103178247564
-69.35174407466113,69.22467652074131,-68.94344956784236,69.07103178247564
-69.3517432867748,69.2246773473845,-68.94345046312586,69.07103087108338
-69.35174111932304,69.22467959178081,-68.94345286697005,69.07102844132919
-69.35174075260568,69.22467994699718,-68.94345324019105,69.07102808046261
-69.3517419109952,69.22467872301016,-68.94345187667957,69.07102947694767
-69.35174342137574,69.22467713161838,-68.94345018952049,69.07103121028398
-69.35174524542774,69.2246753923312,-68.94344821378564,69.07103303088965
-69.35174584597509,69.22467476687983,-68.94344770634436,69.07103354085446
-69.35174584597509,69.22467476687983,-68.94344770634436,69.07103354085446
-69.35174526800695,69.22467531633157,-68.94344855870618,69.07103271998525
-69.35174299802111,69.22467761352432,-68.94345141390332,69.07102990128918
-69.35174299802111,69.22467761352432,-68.94345141390332,69.07102990128918
-69.35174172677928,69.22467890950486,-68.94345287370788,69.07102846096
-69.3517422654241,69.22467836537083,-68.94345212285563,69.07102924178328
-69.35174343018207,69.22467714946652,-68.9434507662594,69.07103063263844
-69.35174489701386,69.22467561300785,-68.94344910735032,69.07103233759489
-69.35174544277021,69.22467503754767,-68.94344857360146,69.07103290155607
-69.35174503243377,69.22467546456464,-68.94344916070608,69.07103232438186
-69.35174508697624,69.22467539973738,-68.94344914146922,69.07103235743041
-69.3517436731959,69.22467687635448,-68.943450803796,69.07103068453536
-69.35174268698518,69.22467789361092,-68.94345190786838,69.07102957876931
-69.35174243607226,69.22467815535717,-68.94345211715795,69.07102936525203
-69.35174255957067,69.22467777130878,-68.94345180940793,69.07102980842902
-69.3517432314866,69.22467723827738,-68.94345104558724,69.07103051229254
-69.35174404257157,69.22467648026594,-68.94345012642516,69.07103140084972
-69.35174502091559,69.2246755160601,-68.94344902237688,69.07103248539283
-69.35174502091559,69.2246755160601,-68.94344902237688,69.07103248539283
-69.3517450804594,69.22467543461534,-68.94344898264922,69.07103252315946
-69.35174478730922,69.22467573553557,-68.94344934868867,69.07103214302298
-69.35174436630422,69.22467618430424,-68.9434498152226,69.07103164931493
-69.35174247425881,69.22467775009282,-68.94345170850256,69.07102992879852
-69.35174247425881,69.22467775009282,-68.94345170850256,69.07102992879852
-69.35174131259072,69.2246788554354,-68.94345292369651,69.07102876587432
-69.35174163960589,69.22467882456087,-68.94345251578494,69.07102901468525
-69.35174215830045,69.22467849064363,-68.9434518411754,69.07102953142622
-69.35174373843061,69.22467700920262,-68.94345002425766,69.07103123096098
-69.35174557810022,69.22467519858763,-68.94344795220425,69.07103322978934
-69.35174663504647,69.22467399477756,-68.94344681433758,69.07103449142218
-69.35174752330289,69.22467296910892,-68.94344581771061,69.07103555228892
-69.35174427996368,69.22467625483391,-68.94344944660199,69.07103190907841
-69.35174427996368,69.22467625483391,-68.94344944660199,69.07103190907841
-69.35174190475178,69.22467895764066,-68.94345204184825,69.07102917017433
-69.35174091986602,69.2246799007897,-68.94345280635994,69.07102842925883
-69.35174142346021,69.22467925077795,-68.94345179876136,69.07102952254058
-69.35174297130779,69.22467750015586,-68.94344954860723,69.07103191200326
-69.35174297130779,69.22467750015586,-68.94344954860723,69.07103191200326
-69.35174421837522,69.22467612594477,-68.9434477723205,69.07103380766483
-69.35174423273357,69.22467618984041,-68.94344781600566,69.07103372785532
-69.35174438338534,69.22467605253863,-68.94344739012541,69.07103416895664
-69.35174438338534,69.22467605253863,-68.94344739012541,69.07103416895664
-69.35174122939848,69.22467942753248,-68.9434506699762,69.07103077356014
-69.3517407716486,69.22467985532403,-68.94345093097913,69.07103052293155
-69.35174117032791,69.2246794034889,-68.94345021298238,69.07103126256487
-69.35174176329963,69.22467875949722,-68.94344932848117,69.07103217131018
-69.35174257482993,69.22467789947913,-68.94344825087094,69.07103327200102
-69.35174321037017,69.22467723262145,-68.94344744271756,69.07103409154486
-69.35174316438784,69.22467731770158,-68.9434474583234,69.07103405288937
-69.35174306267145,69.2246774522419,-68.94344751486821,69.0710339709735
-69.35174288443496,69.22467766424354,-68.94344762112478,69.07103383376352
-69.35174261915459,69.22467796363567,-68.94344778647513,69.0710336343855
-69.35174261915459,69.22467796363567,-68.94344778647513,69.0710336343855
-69.35174208776867,69.22467854902233,-68.9434480740218,69.0710332857535
-69.35174130454536,69.2246793968111,-68.94344870884319,69.07103258461021
-69.35174071051203,69.22468003387613,-68.94344918487226,69.07103206067384
-69.35174052331308,69.2246802024884,-68.94344920374378,69.07103201925432
-69.3517404602336,69.22468006218759,-68.94344911874245,69.07103231782224
-69.35174050160711,69.22467984561736,-68.94344898769864,69.07103267521704
-69.35174060693033,69.22467948197018,-68.94344873469915,69.07103329171827
-69.35174060693033,69.22467948197018,-68.94344873469915,69.07103329171827
-69.35174111625257,69.22467885863385,-68.94344838359558,69.0710338902662
-69.35174139115851,69.22467854000948,-68.94344815726255,69.07103420541962
-69.3517417014927,69.22467816814871,-68.94344788990527,69.07103456841857
-69.35174204569647,69.22467775823075,-68.94344757341325,69.07103497890044
-69.35174226654632,69.22467799482669,-68.94344747633387,69.07103474808567
-69.35174235975644,69.22467822196079,-68.94344742449356,69.07103448491438
-69.35174236200604,69.22467849609794,-68.9434474058316,69.07103416502827
-69.35174236200604,69.22467849609794,-68.9434474058316,69.07103416502827
-69.35174154053867,69.22467947935289,-68.94344805582553,69.07103295124338
-69.35174104462631,69.2246801975917,-68.94344848480388,69.07103213263224
-69.35174065584242,69.22468025685411,-68.94344869431026,69.07103197838615
-69.35174065584242,69.22468025685411,-68.94344869431026,69.07103197838615
-69.35174092646669,69.22468031622249,-68.94344834389625,69.07103196950058
-69.35174092646669,69.22468031622249,-68.94344834389625,69.07103196950058
-69.3517418240982,69.22467884946106,-68.94344729860416,69.0710334262855
-69.35174253679912,69.2246779324568,-68.94344657526428,69.07103437704211
-69.35174253679912,69.2246779324568,-68.94344657526428,69.07103437704211
-69.35174293017235,69.22467764410419,-68.94344642140219,69.0710345876059
-69.35174293017235,69.22467764410419,-68.94344642140219,69.0710345876059
-69.35174254525,69.22467794870768,-68.94344693353705,69.0710341739119
-69.35174109943708,69.22467973487909,-68.9434487570072,69.07103230521831
-69.35174003149271,69.22468085246281,-68.94344999284152,69.07103110473342
-69.3517399705674,69.22468072378625,-68.94344998986203,69.07103127568699
-69.3517399705674,69.22468072378625,-68.94344998986203,69.07103127568699
